route_id,agency_id,route_short_name,route_long_name,route_type,route_url
"2754","GMB","N4C","ABERDEEN (SHEK PAI WAN) - CAUSEWAY BAY (CANNON STREET)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2754&lang=EN"
"2755","GMB","N4X","CAUSEWAY BAY (CANNON STREET) - SHUM WAN ROAD PUBLIC TRANSPORT TERMINUS(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2755&lang=EN"
"2762","GMB","45M","SHAM SHUI PO (KI LUNG STREET) - WING HONG STREET (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2762&lang=EN"
"2763","GMB","409S","TSING YI (CHEUNG HANG) - TSUEN WAN (TSUEN WAN MARKET STREET) VIA TAK HOI STREET(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2763&lang=EN"
"2764","GMB","20C","TAI PO MARKET STATION - TAI MEI TUK (VIA YUEN SHIN ROAD)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2764&lang=EN"
"2765","GMB","20E","TAI PO MARKET STATION - SHAN LIU (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2765&lang=EN"
"2766","GMB","43","TUEN MUN TOWN CENTRE (HO PONG STREET) - SO KWUN WAT  (OMIT KA WO LI HILL ROAD) (CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2766&lang=EN"
"2772","GMB","27B","PAK SHEK KOK (PROVIDENCE BAY) - SHA TIN (PAI TAU STREET)(VIA UNIVERSITY STATION)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2772&lang=EN"
"2774","GMB","72","KAM SHEUNG ROAD STATION - LUI KUNG TIN","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2774&lang=EN"
"2775","GMB","604","SHAN HA TSUEN - YUEN LONG (FAU TSOI STREET)(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2775&lang=EN"
"2777","GMB","812A","SHUI CHUEN O - SHA TIN WAI STATION(CIRCULAR)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2777&lang=EN"
"2779","GMB","102","SAN PO KONG - HANG HAU STATION","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2779&lang=EN"
"2785","GMB","38","YUEN LONG (FOOK HONG STREET) - YAU TAM MEI WEST (NEAR HO SANG FARM)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2785&lang=EN"
"2786","GMB","37","YAU TAM MEI VILLAGE OFFICE - YUEN LONG (FOOK HONG STREET)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2786&lang=EN"
"2787","GMB","37","YUEN LONG (FOOK HONG STREET) - YAU TAM MEI VILLAGE OFFICE","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2787&lang=EN"
"2788","GMB","37","WAN TSUEN ROAD - YUEN LONG (FOOK HONG STREET)","3","http://hketransport.td.gov.hk/ris_page/get_gmb_detail.php?route_id=2788&lang=EN"
